Titolo Film
Anatomia di un Rapimento
Le Conseguenze Dell'Amore (2004)
Un Tranquillo Weekend Di Paura
Nightmare 2 - La Rivincita (1985)
Dune
The Lighthouse
L'Ultimo dei Mohicani
La Banda degli Onesti
Rambo 2 La vendetta (1985)
Vizio Di Forma
Martyrs
L'Accattone
Balla coi Lupi
The Black Dahlia
The Tree of Life
Vacanze Romane
3 Ragazzi Ninja (1992)
Beverly Hills Cop (1984)
La Mummia 2 (2001)
Heat - La Sfida
Ritorno al Futuro 2
C'era una Volta in America
47 Il Morto che parla
Thelma e Louise
Mad Max Fury Road
Black Hawk Down
La Ricerca Della Felicita
Bird Box
Eva contro Eva
Lo Specchio
Pearl Harbor
Fuori In 60 Secondi
Il curioso caso di Benjamin Button
Superman (1978) [Director's Cut]
Solaris
Another Earth
Mission Impossible 4 Ghost Protocol (2011)
I Colori dell?Anima - Modigliani (2004)
I 400 colpi
Inland Empire - L' Impero della Mente
The Blues Brothers
Matrix
Un sogno chiamato Florida - The Florida Project
Proposta Indecente (1993)
Hereditary - Le radici del male
Pirati dei Caraibi 4 Oltre i confini del mare
La Sottile Linea Rossa
La Mummia 3 (2008)
Il Sacrificio Del Cervo Sacro
Andrej Rublev
Hunger Games 4 Il canto della rivolta parte 2 (2015)
The Irishman
Corpo e Anima - On Body and Soul
Altrimenti ci Arrabbiamo
Mank
Tre Manifesti a  Ebbing Missouri
Hellraiser
Leon
Hunger Games 3 Il canto della rivolta parte 1 (2014)
La 25a ora
The Social Network
Gli Uccelli (1963)
La Grande Fuga
La Donna Che Canta (2010)
I Soliti Sospetti
The Game - Nessuna Regola
Metropolis
Fargo (1996)
Velluto Blu (1986)
I Figli Degli Uomini
Drive (2011)
Bronx
Eyes Wide Shut
The Invitation (2015)
La Forma Della Voce
Bastardi Senza Gloria
Rocknrolla
Rebecca la Prima Moglie
Toto Le Mokï
Il Labirinto del Fauno
Il Seme della Follia
Scuola di Ladri 
Dogtooth (2020)
Le Iene
Indiana Jones 1 I predatori dell'arca perduta (1981)
Stand By Me - Ricordo di un Estate
Apri gli Occhi
Arma letale I - Lethal Weapon
Via col Vento
Inception
The Departed - Il Bene e il Male
The Mist
Diamanti Grezzi
Million Dollar Baby
First Man - Il primo uomo
Hostiles - Ostili
La Mummia (1999)
Il Gladiatore
Paura e delirio a Las Vegas
La Storia Infinita (1984)
Indovina chi Viene a Cena
La Vita ä Bella
Tenet
La Grande Bellezza
Il Ponte Delle Spie
La Promessa Dell'Assassino
Guardie E Ladri
Platoon (1986) [25th Anniversary Edition]
jurassic Park 3
Quarto Potere
Crimini e Misfatti
L'Uomo Bicentenario (1999)
Green Book
Venerdç 13
The Snatch - Lo Strappo
The Wolf of Wall Street
L'uomo Che Venne Dalla Terra
Mademoiselle (2016)
Mission Impossible 1  (1996)
Madre! - Mother!
Il Petroliere
Ritorno al Futuro
La leggenda del pianista sull'oceano
Brazil
Qualcuno Volo' Sul Nido Del Cuculo
La Leggenda del Re Pescatore
La Storia Infinita 2  (1990)
When Evil Lurks (2023)
SciusciÖ
Una Storia Vera
American Psycho (2000)
Codice d'Onore (1992)
Grand Budapest Hotel
Lock and Stock - Pazzi Scatenati 
Hunger Games 2 La ragazza di fuoco (2013)
Slevin Patto Criminale (2006)
Miseria e NobiltÖ
Una Notte da Leoni 2 (2011)
Intrigo Internazionale
L'Uomo Senza Sonno
Miss Violence
Confessions
Occhio Malocchio Prezzemolo E Finocchio
John Carter (2012)
La Zona Morta
Secret Window
School of Rock
The Orphanage
Zodiac (2007)
Saw - L?Enigmista
A Dangerous Method
Apollo 13
Now You See Me 2 (2016)
Enemy
Il caso Spotlight
Donnie Darko
Biutiful
Le Mans 66
Mr. Nobody
Big Fish - Le storie di una vita incredibile
La Prova
Piedone lo Sbirro
The Big Kahuna 1999
The Prestige
Guida Galattica per Autostoppisti
Frankenstein Junior
Zero Dark Thirty 
Titanic
La Famiglia Addams (1991)
21 Grammi - Il peso dell'anima
La Forma dell'acqua
Baby Driver - Il Genio della  Fuga (2017)
Hook - Capitan Uncino (1991)
The Martian
Before Midnight (2013)
Mission impossible 6 Fallout (2018)
Il Grande Lebowski
Akira  (1988)
Rosemary's Baby - Nastro Rosso A New York
This Must Be the Place
X-Men
Batman - Il Cavaliere Oscuro
Salvate il soldato Ryan
Vertigo - La Donna Che Visse Due Volte
Demolition Man (1993)
Lo Chiamavano Jeeg Robot
Pirati dei Caraibi 3 Ai confini del mondo (2007)
Fantozzi
The Hurt Locker
Gravity
Il Gattopardo
La Montagna Sacra
Un tram che si chiama desiderio
Indipendence Day
The Untouchables - Gli intoccabili (1987)
Il Signore Degli Anelli - Le Due Torri
Otto e Mezzo
Il Buco - The Hole
Pi Greco - Il Teorema Del Delirio
Memories of Murder
Avatar
Toto' Peppino e i fuorilegge
Midsommar
Life
Ronin
Insomnia
Bonnie and Clyde
I Tartassati
Room
Terminator 2 - il giorno del giudizio
La Dolce Vita (1960)
Luci Della Citta
THX 1138, L'uomo che Fuggç dal Futuro
Full Metal Jacket
Soul
Revenant - Redivivo
L'Allenatore Nel Pallone
Beetlejuice - Spiritello Porcello (1988)
Fantozzi - Fracchia contro Dracula
Trainspotting
Tre Colori - Film Blu
L'Avvocato del Diavolo
City of God - La cittÖ di Dio
Signori si Nasce (1960)
BlacKkKlansman
Il Grinta (2010)
Tutti Gli Uomini Del Presidente
Kill Bill - Volume 1
Nodo alla Gola (1948)
Ex Machina
Mission Impossible 3 (2006)
Before Sunrise - Prima Dell'alba
Fratello Dove Sei (2000)
Gli Onorevoli (1963)
Bram Stoker's Dracula
Your Name
Tre Colori - Film Rosso
Animali Notturni
I.A. - Intelligenza Artificiale
Il Fuggitivo
Tremors 2 - Aftershocks (1996)
Niente Da Nascondere (2005)
Lady Bird
Crash - Contatto fisico
L'Esorcista
Un Dollaro d'Onore (Rio Bravo) (1959)
I Sette Samurai  (1954)
La Cosa - The Thing
Il Signore Degli Anelli - La Compagnia Dell'Anello
Le Ali Della Liberta
Rambo 1 (1982)
Jurassic Park
Il Cavaliere Oscuro Il Ritorno (2012)
Lincoln (2012)
Nomadland
Cornetti Alla Crema
Synecdoche
Il Padrino 3 (1990)
Birdman
Argo (2012)
Il Filo Nascosto - Phantom Thread
Noi - Us
Unbreakable Il Predestinato
Fitzcarraldo
Mezzogiorno e mezzo di fuoco (1974) [40th Anniversary Edition]
Napoli Milionaria (1950)
Arrival
American Sniper (2014)
Il Padrino 1 (1972)
Il bisbetico domato 1980
What Happened to Baby Jane
Boyhood
Traffic
The Others
Il Signore Degli Anelli - Il Ritorno Del Re
Tra Le Nuvole
Nati con la Camicia
Il Silenzio degli Innocenti (1991)
Totï contro i 4 (1963)
L'Immortale (2019)
Braveheart - Cuore Impavido
1917
Mission Impossible 2 (2000)
Amores Perros
Still Life
Luci d'Inverno (1963)
The Artist 2011
The Wrestler
Fight Club
Seven
La Regola del Gioco 1939
The Master
Suspiria (2019)
Fanny e Alexander (1982)
Il Cacciatore
Scarface
Le Vite degli Altri
Willi Hunting - Genio Ribelle
The Hateful Eight
Climax
Banana Joe
Operazione San Gennaro (1966)
Non Ci Resta Che Piangere
Yuppies (1986)
Joker
Toro Scatenato
Fa' la Cosa Giusta
L'Ultimo Imperatore
Non ä un Paese per Vecchi
7 Psicopatici
Kill Bill - Volume 2
Mulholland Drive
Easy Rider
The Skeleton Key
C'era una volta a Hollywood
Blood Diamond
Audition
Ladri di biciclette (1948)
Intervista col Vampiro
Domino (2005)
L'Eclisse (1962)
Al Bar Dello Sport
Amadeus
Lucy (2014)
Lord of War(2005)
Revolutionary Road
The Zero Theorem
Lo Sciacallo Nightcrawler
Un Affare Di Famiglia
Perfect Blue (1998)
Come in uno specchio
Memento
Blade Runner
La Nona Porta
Una Notte da Leoni
Toto Peppino e i Fuorilegge (1956)
Dal Tramonto all'Alba
Mean Streets - Domenica In Chiesa Lunedi All'Inferno(1973)
Cast Away
Fracchia La Belva Umana
Apocalypse Now
Il Commissario Lo Gatto
Ace Ventura - l'acchiappanimali (1994)
American Beauty
Trappola Criminale
La Casa Stregata
Il Postino
Indiana Jones e i predatori dell'arca perduta
La Tomba Delle Lucciole
La Notte Dei Morti Viventi
IdentitÖ (2003)
A Beautiful Mind
Il Discorso Del Re
Ogni Maledetta Domenica
Brooklyn
Il Settimo Sigillo
Grindhouse - Planet Terror
Indiana Jones 2 Il tempio maledetto (1984)
Nightmare Dal Profondo Della Notte (1984)
Chi Trova Un Amico Trova Un Tesoro (1981)
Amarcord
Cuore Selvaggio
Eraserhead - La Mente Che Cancella
Espiazione
Ferro 3 - La Casa Vuota
The Ring (2002)
Inside Man
Session 9 (2001)
The Butterfly Effect
Strade Perdute
A Scanner Darkly - Un Oscuro Scrutare
Melancholia
Man on Fire - Il fuoco della vendetta
Il Segreto dei suoi Occhi
Innamorato Pazzo
Angel Hearth - Ascensore per l'Inferno
Possession
Snowden
Hostel
Totïtruffa 62
Tototarzan
Coco
Black Panther
Goodfellas - Quei Bravi Ragazzi
Una Settimana da Dio (2003)
La Finestra sul Cortile
Le regole della casa del sidro
Il Secondo Tragico Fantozzi
The Terminal
L'Inquilino Del Terzo Piano (1976)
Profondo Rosso
Il Grido
The Shining
Re per una notte
Il Grande Sonno (1946)
L'Ultimo Samurai
The Lobster
Knives Out - Cena con Delitto
Stalker
La Migliore Offerta
Following
La Grande Guerra
Il Posto delle Fragole
The Truman Show
A Star is Born
Psycho
Oldboy
Il Miglio Verde
12 Anni Schiavo
Piu Forte Ragazzi (1972)
Jurassic Park 2 - Il Mondo Perduto
L'esercito delle 12 scimmie - 12 Monkeys (1995)
Maps to the Stars
Dio perdona... io no! (1967)
Thirst (2009)
Pirati dei Caraibi 5 La vendetta di Salazar (2017)
Il Silenzio
Scuola di Ladri 2
Moon
Thelma
Midnight In Paris
Goodnight Mommy
Interstellar
Se La Strada Potesse Parlare
Sorry We Missed You
Il Bambino d'Oro (1986)
Totï sceicco (1950)
La Teoria Del Tutto
Accadde una Notte
L'Angelo Sterminatore
Jumanji (1995)
Shutter Island
Enter The Void (2009)
Primer
Gone Girl
Stargate
La Favorita
Willy Wonka e la fabbrica di cioccolato (1971)
I 39 Scalini - Il club dei trentanove
Amour (2012)
Lo Chiamavano Bulldozzer
Parasite
Il Mistero di Bellavista (1985)
Il Lato Positivo
Prova A Prendermi
Dogville
Scuola di Polizia (1984)
Lolita
Nosferatu il Principe della Notte
Robocop
Manhunter - Frammenti di un omicidio (1986)
Basic Instinct
Django Unchained
American Gangster (2007)
Indiana Jones 4 Il regno del teschio di cristallo (2008)
La Storia Infinita 3  (1995)
Babel
Fuga per la Vittoria
Barry Lyndon
Terminator
Scream (1996)
Grandi Magazzini
American Hustle - l'apparenza inganna
L'Enigma di Kaspar Hauser
Babadook
Whiplash
Pirati dei Caraibi 1 La maledizione della prima luna (2003)
Into The Wild
Hannibal
Lo chiamavano Bulldozer (1978)
The Mule - Il Corriere (2018)
Magnolia
Autopsia di un Sogno
Dogman
C'era una volta il West
The Italian Job (2003)
A Ghost Story - Storia Di Un Fantasma
Die Hard - Trappola Di Cristallo
Requiem For A Dream
Entrapment
Un Turco Napoletano
Atto di Forza (1990)
La Vita e Meravigliosa - It's a Wonderful Life
Clerks - Commessi (1994)
Donnie Brasco
Jackie Brown
Mission Impossible 5 (2015)
The Imitation Game
The Northman (2022)
Hell or High Water (2016)
La CittÖ Incantata
Capriccio all'italiana
Toto Peppino e La Malafemmina
Momenti di gloria
Men of Honor - L'Onore degli Uomini
Casablanca
Scanners
Under the Skin
Asso (1981)
Ritorno al Futuro 3
Pulp Fiction
The Village
Lost In Translation
Ocean's Eleven
Beverly Hills Cop 2 (1987)
La Parola ai Giurati
La Strada
Alien
La Stangata  (1973)
Uno Sceriffo Extraterrestre... Poco Extra E Molto Terrestre
Il Cigno Nero
The Life of David Gale (2003)
Lo Squalo (1975)
Before Sunset - Prima del Tramonto
Il Sorpasso
Pari e Dispari (1978)
Il Vento si Alza
Nikita
Rocky
Brutti Sporchi e Cattivi
Gran Torino
Top Gun
Cosç parlï Bellavista (1984)
Casino
Il dottor Stranamore (1964)
I Soliti Ignoti (1958)
The Witch
Existenz
Lo Zio Boonmee Che Si Ricorda Delle Sue Vite Precedenti
Suspiria
Waking Life (2001)
La Casa Di Jack
Se Mi Lasci Ti Cancello
The Mask
Now You See Me - I Maghi del Crimine (2013)
Quasi Amici
Limitless (2011)
Gone Baby Gone
Il Paziente Inglese
Hunger Games (2012)
Storia di un Matrimonio
Schindler's List- La Lista di Schindler
L'Ora Del Lupo (1968)
Sette Anime
Totï Cerca Casa
Quattro Matrimoni E Un Funerale
Orphan
Roma (2018)
Sound Of Metal
Holy Motors
2001 Odissea nello Spazio
Dunkirk
The Warriors - I Guerrieri Della Notte
The Northman - 2022
Hooligans
Lei - Her
Quinto Potere
Il Laureato
Febbre da Cavallo (1976)
Forrest Gump
The Millionaire
Alps
Bad Guy (2001)
La La Land
Poliziotto Superpió (1980)
Il Dottor Zivago
L'Oro Di Napoli
Jojo Rabbit
Poliziotto Superpiu (1980)
Io Sono Leggenda (2007)
IT - Il Pagliaccio Assassino
Rambo 3 (1988)
Koyaanisqatsi
Persona
Essere John Malkovich
Beverly Hills Cop 3 (1994)
The Elephant Man
Lo Chiamavano TrinitÖ
Il Nome della Rosa
