Nome Cartella
Hellsing Ultimate
No Game No Life
Gosick
Mila e Shiro
I Cavalieri Dello Zodiaco - Saint Seya (1986)
Carletto Il Principe dei Mostri
One Piece
Blue Lock
Cowboy Bebop
Kaiju n.8
Akame Ga Kill
Kill La Kill
Devilman Crybaby
Kyashan
Undead Unluck
Berserk (2016)
Elfen Lied
Dr. Stone
Serial Experiment Lain
Fire Force
Tokyo Revengers
Death Note
Holly e Benji forever
Rainbow Nisha Rokubou No Shichinin
Capeta
Darker Than Black
Lam— - La Ragazza Dello Spazio
My Hero Academia
Bleach - Thousand-Year Blood War
Jujutsu Kaisen
I Cavalieri dello Zodiaco - Lost Canvas
I Cinque Samurai
Gakeen - Magnetico Robot
Ergo Proxy
Goblin Slayer
Holly e Benji - Due Fuoriclasse
Record of Ragnarok - Stagione 2 (2023)
L'Uomo Tigre
Basilisk
Demon Slayer
Tokyo Ghoul (2014)
Samurai Champloo
Dragon Ball Daima
Chainsaw Man
Neon Genesis Evangelion
Psycho Pass
Death Parade
"Steins;Gate"
Tansor 5 - Avventura nella scienza
Frieren - Oltre la Fine del Viaggio
Berserk
Violet Evergarden
Tower of God
Daitarn 3
The God Of High School
Gantz
Hyouka
Fullmetal Alchemist Brotherhood
One Punch Man
Capitan Harlock
Pluto
Hunter x Hunter
Odd Taxi
Ushio To Tora
Great Pretender
Dragon Ball Super
Kakegurui Twin(2022)
PlanetES
Claymore
Metallic Rouge
Made in Abyss
Vinland Saga
Solo Leveling
Baki the Grappler
Kusuriya No Hitorigoto
The Eminence in Shadow
Boku Dake GaInai Machi
SpyxFamily
Mob Psycho 100
SSSS.Gridman
Kiseiju - L'ospite indesiderato
Yu Yu Hakusho
Invincible (2021)
Hell's Paradise
D.Gray-man
The Seven Deadly Sins - I Sette Peccati Capitali
Nier Automata Ver1.1a
GTO - Great Teacher Onizuka
I Cavalieri dello zodiaco - Saint Seiya - Hades
Ken il guerriero (1984)
Zankyou No Terror
Fantazoo (1987)
Due Come Noi
Plunderer
Ranking of Kings
Magi Sinbad No Bouken
Cristoforo Colombo
Dr. Stone - Stagione 3
Fire Force - Stagione 2
My Hero Academia - Stagione 7
Bleach - Thousand-Year Blood War - Stagione 2
Bleach - Thousand-Year Blood War - Stagione 3
Jujutsu Kaisen - Stagione 1
I Cavalieri Dello Zodiaco - The Lost Canvas - Stagione 1
I Cavalieri Dello Zodiaco - The Lost Canvas - Stagione 2
Extra
Goblin Slayer - Stagione 1
Goblin Slayer - Stagione 2
Tokyo Ghoul Re stagione 2
Tokyo Ghoul Re stagione 3
Tower Of God - Stagione 2
Gantz - Stagione 1
Gantz - Stagione 2
Fullmetal Alchemist Brotherhood OAV [BDRip 1080p]
One Punch Man - Stagione 1
One Punch Man - Stagione 2
Made In Abyss  - Stagione 2 (2022)
Made In Abyss - Stagione 1
Mob Psycho 100 - Stagione 1
Mob Psycho 100 - Stagione 2
Mob Psycho 100 - Stagione 3
Invincible - Stagione 1
Invincible - Stagione 2
The Seven Deadly Sins - Stagione 1
The Seven Deadly Sins - Stagione 2
The Seven Deadly Sins - Stagione 3
The Seven Deadly Sins - Stagione 4
DVD 1
DVD 2
DVD 3
